the_geom,lng,objectid,year,dc_key,code,date_,race,sex,age,wound,officer_involved,the_geom_webmercator,offender_deceased,location,latino,point_x,point_y,dist,time,inside,outside,fatal,lat,offender_injured
0101000020E6100000B4D32887C3CF52C02252D32EA6F44340,-75.24630908,2184,2018.0,201812010228,3006,2018-02-11,B,M,24,buttocks,N,0101000020110F0000A31CE5330FF45FC14FBF7D0752835241,N,2400 BLOCK S 75TH ST,0,-75.24630908,39.9113215,12,13:59:00,0.0,1.0,0.0,39.9113215,N
0101000020E6100000B4D32887C3CF52C02252D32EA6F44340,-75.24630908,2185,2018.0,201812010228,3006,2018-02-11,B,M,21,back,N,0101000020110F0000A31CE5330FF45FC14FBF7D0752835241,N,2400 BLOCK S 75TH ST,0,-75.24630908,39.9113215,12,13:59:00,0.0,1.0,0.0,39.9113215,N
,,2186,2018.0,201818006701,0411,2018-02-01,B,M,20,back,N,,N,5200 BLOCK WEBSTER ST,0,,,18,01:49:00,0.0,1.0,0.0,,N
,,2187,2018.0,201818006716,0411,2018-02-01,B,F,18,buttocks,N,,N,5200 BLOCK WEBSTER ST,0,,,18,05:34:00,0.0,1.0,0.0,,N
0101000020E61000002D4D21C205CA52C07731493C0BFF4340,-75.15660146,1997,2016.0,201622075435,0411,2016-09-12,B,F,31,leg,N,0101000020110F0000DF86ACA64EEA5FC1705BF037D68E5241,N,1500 BLOCK W HUNTINGDON ST,0,-75.15660146,39.99253038,22,23:25:00,0.0,1.0,0.0,39.99253038,N
0101000020E6100000FD35F678E3CA52C0271FD4A834FF4340,-75.17013382,1998,2015.0,201522071534,0411,2015-08-09,B,M,16,multi,N,0101000020110F000039D74241C7EB5FC1510AD623048F5241,N,2300 BLOCK W SERGEANT ST,0,-75.17013382,39.99379454,22,22:49:00,0.0,1.0,0.0,39.99379454,N
0101000020E61000007C48F8DEDFC952C0DB98E83DDF024440,-75.154289,1999,2016.0,201635012931,0411,2016-02-15,B,M,33,buttocks,N,0101000020110F00002E9DAC4B0EEA5FC1AF7395DA14935241,N,4500 BLOCK N BOUVIER ST,0,-75.15428899999999,40.0224378,35,18:35:00,0.0,1.0,0.0,40.0224378,N
,,2000,2016.0,201635038916,0300,2016-05-08,B,M,44,thigh,N,,N,5100 BLOCK N HUTCHINSON ST,0,,,35,18:07:00,0.0,1.0,0.0,,N
0101000020E610000033809EA361CE52C05D83633B04FB4340,-75.22470942,2001,2016.0,201619082451,0300,2016-09-07,B,F,31,multi,N,0101000020110F000038D24016B6F15FC1086EFF8C5F8A5241,N,0 BLOCK N 52ND ST,0,-75.22470942,39.96106665,19,20:59:00,0.0,1.0,0.0,39.96106665,N
0101000020E6100000C86361E315CA52C0B2FC125481F94340,-75.15758595,2002,2015.0,201506045700,0411,2015-09-26,B,M,29,leg,N,0101000020110F0000A0049F0C6AEA5FC138A3F7E0B2885241,N,1000 BLOCK SANSOM ST,0,-75.15758595,39.94925929,06,02:53:00,0.0,1.0,0.0,39.94925929,N
0101000020E6100000DB16231A36CD52C041EA3C4B0CFC4340,-75.20642713,2003,2015.0,201516027241,0411,2015-06-20,B,F,01,neck,N,0101000020110F000039200A4BB9EF5FC131218329848B5241,N,4100 BLOCK OGDEN ST,0,-75.20642713,39.96912518,16,21:51:00,0.0,1.0,0.0,39.96912518,N
0101000020E61000000483D6892CCD52C03AE40BFF0EFC4340,-75.20584341,2004,2015.0,201516057687,0111,2015-12-26,B,M,18,multi,N,0101000020110F0000AB6B5B0CA9EF5FC1BD8F2928878B5241,N,800 BLOCK N 41ST ST,0,-75.20584341,39.96920765,16,16:59:00,0.0,1.0,1.0,39.96920765,N
0101000020E61000002F55276F59CB52C063F9A9E026F74340,-75.17733363,2005,2015.0,201517036689,0111,2015-07-31,B,M,30,mutli,N,0101000020110F00006DC6ED9F8FEC5FC189D38A8917865241,N,1900 BLOCK MOUNTAIN ST,0,-75.17733363,39.93087395,17,23:26:00,0.0,1.0,1.0,39.93087395,N
0101000020E610000042AD504111C452C03870FF78CC014440,-75.06355317,2006,2016.0,201615039181,0411,2016-04-25,B,M,22,shoul,N,0101000020110F00004571062131E05FC18B10FA23E4915241,N,2100 BLOCK CARVER ST,0,-75.06355317,40.01405251,15,21:52:00,0.0,1.0,0.0,40.01405251,N
0101000020E610000050D446335EC552C0949FB72530024440,-75.08387453,2007,2016.0,201615039952,0411,2016-04-27,B,M,26,back,N,0101000020110F0000765D7CAB66E25FC1A84B61AC52925241,N,4700 BLOCK OXFORD AVE,0,-75.08387453,40.01709434,15,21:32:00,0.0,1.0,0.0,40.01709434,N
0101000020E6100000CBC9380416C552C0DF3BC505FB034440,-75.07946878,2008,2016.0,201615069238,0411,2016-07-16,B,F,15,buttocks,N,0101000020110F0000729DF30EECE15FC1F2B69D994F945241,N,5900 BLOCK HORROCKS ST,0,-75.07946878,40.0310981,15,21:28:00,0.0,1.0,0.0,40.0310981,N
0101000020E61000006556CE6212CA52C0C1D422E434FF4340,-75.15737219,2009,2016.0,201622040936,0411,2016-05-16,B,M,22,chest,N,0101000020110F00006504B31964EA5FC11B529565048F5241,N,1500 BLOCK W OAKDALE ST,0,-75.1573722,39.99380161,22,21:25:00,0.0,1.0,0.0,39.99380161,N
0101000020E6100000C9CB16203CC652C08A87BD714E014440,-75.09741976,2010,2016.0,201624008135,0111,2016-01-27,B,M,20,back,N,0101000020110F000004BDC3A1DFE35FC182CCE66358915241,N,4200 BLOCK NEISLON,0,-75.09741976,40.01020643,24,20:13:00,0.0,1.0,1.0,40.01020643,N
0101000020E610000028A14F3F43C952C082A6888081044440,-75.14472945,2011,2016.0,201635041288,0111,2016-05-15,B,M,29,multi,N,0101000020110F00002FBC294104E95FC13ED385C4E4945241,N, 5401 OLD YORK RD,0,-75.14472945,40.03520209,35,01:17:00,0.0,1.0,1.0,40.03520209,N
0101000020E6100000FC174A1EB6CA52C04F338BEDC1054440,-75.16736562,2012,2016.0,201614065275,0411,2016-08-15,B,M,30,calf,N,0101000020110F00005CA35D377AEB5FC14DBB203A48965241,N,E HAINES ST / MC MAHON AV,0,-75.16736562,40.04498071,14,21:50:00,0.0,1.0,0.0,40.04498071,N
0101000020E61000002338899C59C552C0B538217C41054440,-75.08359445,2013,2015.0,201502051424,0411,2015-08-08,W,M,26,back,N,0101000020110F0000E61012E05EE25FC1107713BCB9955241,N,6300 BLOCK SUMMERDALE AVE,0,-75.08359445,40.04106094,02,23:51:00,0.0,1.0,0.0,40.04106094,N
0101000020E610000007FB02BCBDCE52C0F591A52009F64340,-75.23033047,2014,2015.0,201512022929,0411,2015-03-28,B,M,22,leg,N,0101000020110F0000F8D9208552F25FC19AB24712DB845241,N,6500 BLOCK ELMWOOD AVE,0,-75.23033047,39.92215355,12,00:21:00,0.0,1.0,0.0,39.92215355,N
0101000020E6100000F82A6474A1CC52C0E83BCF0A52FB4340,-75.19735441,2015,2016.0,201616025794,0411,2016-06-17,B,M,17,leg,N,0101000020110F0000744CECCCBCEE5FC12AF21EC5B58A5241,N,600 BLOCK N 38TH ST,0,-75.19735441,39.96344123,16,12:19:00,0.0,1.0,0.0,39.96344123,N
0101000020E61000007828C8D7B7CE52C050666AAF91FB4340,-75.22997088,2016,2016.0,201619021465,0411,2016-03-12,B,M,25,arm,N,0101000020110F0000618F3F8348F25FC195270C4BFC8A5241,N,300 BLOCK N 55TH ST,0,-75.22997088,39.96538346,19,19:26:00,0.0,1.0,0.0,39.96538346,N
0101000020E610000030CC325916C852C0C257CFA428FF4340,-75.12636404,2017,2016.0,201624060326,0411,2016-06-21,B,M,18,ankle,N,0101000020110F000010EBC32505E75FC1A779D3D1F68E5241,N,300 BLOCK E CAMBRIA ST,0,-75.12636404,39.99342785,24,03:44:00,0.0,1.0,0.0,39.99342785,N
0101000020E6100000DF5163424CC552C0A0FE92D85E034440,-75.0827795,2018,2015.0,201515116889,0411,2015-11-29,B,M,30,multi,N,0101000020110F0000188D003248E25FC14F167F60A2935241,N,5200 BLOCK SYLVESTER ST,0,-75.0827795,40.02633197,15,22:34:00,0.0,1.0,0.0,40.02633197,N
0101000020E6100000490BFA7FD3CA52C0B20D81C8C7FF4340,-75.16915893,2019,2015.0,201539038769,0411,2015-05-16,B,M,18,buttocks,N,0101000020110F00003364B51FACEB5FC184007C3EA78F5241,N,2800 BLOCK N BONSALL ST,0,-75.16915893,39.9982844,39,23:20:00,0.0,1.0,0.0,39.9982844,N
0101000020E6100000DA441CA195C652C0F5AF59ECFE004440,-75.10288265,2020,2016.0,201624043290,0300,2016-05-04,W,M,17,foot,N,0101000020110F00006B4DD6A977E45FC1362E0A3700915241,N,4000 BLOCK L ST,1,-75.10288265,40.00777964,24,22:50:00,0.0,1.0,0.0,40.00777964,N
0101000020E610000058EAD5D765CE52C0E55CCCC71CFC4340,-75.22496601,2021,2016.0,201616027340,0300,2016-06-26,B,M,22,multi,N,0101000020110F0000E7AE503ABDF15FC16093AD6E968B5241,N,600 BLOCK N CREIGHTON ST,0,-75.22496601,39.96962831,16,22:55:00,0.0,1.0,0.0,39.96962831,N
